loai,ten,tinh_thanh_hoac_thuong_hieu,mota_chi_tiet,doi_tuong,so_thich_hoac_dip_le,chi_phi_hoac_muc_gia,hoat_dong_noi_bat
du_lich,Vịnh Hạ Long,Quảng Ninh,"Di sản UNESCO, nổi tiếng với hàng nghìn đảo đá vôi kỳ vĩ. Trải nghiệm du thuyền ngủ đêm là một hoạt động xa xỉ và đáng nhớ.",cặp đôi;gia đình;nhóm bạn,nghỉ dưỡng;khám phá thiên nhiên,trung bình đến cao,"Du thuyền;chèo kayak;tham quan hang Sửng Sốt, hang Đầu Gỗ;tắm biển Titop"
du_lich,Phố cổ Hội An,Quảng Nam,"Đô thị cổ được bảo tồn, lung linh về đêm với đèn lồng. Nổi tiếng với ẩm thực đặc sắc và không gian yên bình để đi dạo.",cặp đôi;khách nước ngoài;người yêu nhiếp ảnh,văn hóa;ẩm thực;lãng mạn,trung bình,Đi dạo phố cổ về đêm;thả đèn hoa đăng;may đồ lấy liền;thưởng thức ẩm thực
du_lich,Đà Lạt,Lâm Đồng,"Thành phố ngàn hoa với khí hậu mát mẻ quanh năm, nhiều điểm tham quan lãng mạn và các quán cà phê view đồi núi cực chill.",cặp đôi;nhóm bạn;người tìm kiếm sự yên bình,lãng mạn;săn mây;cà phê;nghỉ dưỡng,thấp đến trung bình,Săn mây ở đồi chè Cầu Đất;dạo Hồ Xuân Hương;tham quan các vườn hoa;khám phá chợ đêm Đà Lạt
du_lich,Sa Pa,Lào Cai,"Nơi tuyệt vời để trekking, ngắm ruộng bậc thang hùng vĩ và trải nghiệm văn hóa dân tộc thiểu số. Đỉnh Fansipan là nóc nhà Đông Dương.",nhóm bạn;người yêu trekking;phượt thủ,leo núi;khám phá văn hóa;thiên nhiên hùng vĩ,trung bình,Trekking bản làng;chinh phục Fansipan;thăm nhà thờ đá Sa Pa;thưởng thức lẩu cá tầm
du_lich,Đà Nẵng,Đà Nẵng,"Thành phố biển hiện đại, nổi tiếng với Cầu Rồng, bãi biển Mỹ Khê và khu du lịch Bà Nà Hills với Cầu Vàng.",gia đình;nhóm bạn;cặp đôi,nghỉ dưỡng biển;vui chơi giải trí;hiện đại,trung bình,Tắm biển Mỹ Khê;xem Cầu Rồng phun lửa;khám phá Bà Nà Hills;tham quan Ngũ Hành Sơn
du_lich,Phú Quốc,Kiên Giang,"Đảo Ngọc nổi tiếng với những bãi biển đẹp như Bãi Sao, Bãi Khem. Có khu vui chơi VinWonders, Safari và casino đầu tiên cho người Việt.",gia đình;cặp đôi;người yêu biển,nghỉ dưỡng cao cấp;lặn biển;khám phá đảo,trung bình đến cao,Lặn ngắm san hô;câu mực đêm;tham quan nhà tù Phú Quốc;vui chơi tại VinWonders và Safari
du_lich,Hà Giang,Hà Giang,Điểm đến cho người yêu du lịch mạo hiểm và phượt xe máy. Cung đường đèo Mã Pí Lèng hùng vĩ là một trải nghiệm khó quên.,phượt thủ;người yêu mạo hiểm;nhóm bạn trẻ,phượt xe máy;chinh phục đèo;nhiếp ảnh,thấp,Chạy xe máy trên đèo Mã Pí Lèng;thăm cột cờ Lũng Cú;khám phá cao nguyên đá Đồng Văn
du_lich,Cố đô Huế,Thừa Thiên Huế,"Vùng đất của di sản, mang vẻ đẹp trầm mặc, cổ kính với Đại Nội, các lăng tẩm và dòng sông Hương thơ mộng. Ẩm thực Huế rất đặc sắc.",người yêu lịch sử;người lớn tuổi;khách văn hóa,lịch sử;văn hóa;ẩm thực cung đình,thấp đến trung bình,"Tham quan Đại Nội Huế;đi thuyền rồng trên sông Hương;viếng lăng Khải Định, lăng Minh Mạng"
du_lich,Miền Tây (Cần Thơ),Cần Thơ,"Trải nghiệm cuộc sống sông nước đặc trưng của Đồng bằng sông Cửu Long, với chợ nổi Cái Răng và các miệt vườn trái cây trĩu quả.",gia đình;người muốn trải nghiệm văn hóa địa phương,văn hóa sông nước;ẩm thực miệt vườn;yên bình,thấp,Đi chợ nổi Cái Răng;tham quan miệt vườn trái cây;nghe đờn ca tài tử
du_lich,Quy Nhơn,Bình Định,"Thành phố biển yên bình với những cung đường ven biển tuyệt đẹp. Nổi tiếng với các địa danh hoang sơ như Eo Gió, Kỳ Co, Hòn Khô.",cặp đôi;nhóm bạn tìm kiếm sự yên tĩnh,nghỉ dưỡng biển;yên tĩnh;hoang sơ,thấp đến trung bình,Tắm biển Kỳ Co;check-in Eo Gió;lặn ngắm san hô ở Hòn Khô
du_lich,Ninh Bình,Ninh Bình,"Được mệnh danh là 'Hạ Long trên cạn' với hệ thống hang động, sông nước và núi đá vôi ở Tràng An, Tam Cốc. Cảnh quan thiên nhiên tuyệt đẹp và yên bình.",gia đình;cặp đôi;người yêu thiên nhiên;khách nước ngoài,thiên nhiên;chèo thuyền;yên bình;nhiếp ảnh,thấp đến trung bình,Đi thuyền Tràng An;tham quan Tam Cốc Bích Động;leo Hang Múa;thăm Cố đô Hoa Lư
du_lich,Phong Nha - Kẻ Bàng,Quảng Bình,"Vương quốc hang động của thế giới, với hang Sơn Đoòng lớn nhất thế giới. Nhiều tour mạo hiểm khám phá hang động phù hợp với người ưa thích vận động.",người yêu mạo hiểm;khám phá;nhóm bạn,khám phá hang động;trekking;mạo hiểm,trung bình đến rất cao,"Khám phá động Phong Nha, động Thiên Đường;zipline sông Chày - hang Tối;tour mạo hiểm hang động"
du_lich,Côn Đảo,Bà Rịa - Vũng Tàu,"Hòn đảo linh thiêng với quá khứ lịch sử hào hùng, nhà tù Côn Đảo. Ngày nay là thiên đường nghỉ dưỡng với những bãi biển hoang sơ, sạch đẹp và rùa biển đẻ trứng.",nghỉ dưỡng;tâm linh;lịch sử,tâm linh;nghỉ dưỡng biển;lịch sử,cao,Viếng mộ cô Sáu;tham quan nhà tù Côn Đảo;lặn ngắm san hô;xem rùa đẻ trứng
du_lich,Mộc Châu,Sơn La,"Cao nguyên nổi tiếng với những đồi chè xanh mướt, mùa hoa mận, hoa đào nở rộ. Khí hậu mát mẻ, trong lành, phù hợp cho các chuyến đi ngắn ngày từ Hà Nội.",cặp đôi;nhóm bạn;người yêu nhiếp ảnh,săn hoa;nhiếp ảnh;thiên nhiên,thấp,Chụp ảnh đồi chè trái tim;thăm thung lũng mận Nà Ka;thác Dải Yếm
du_lich,Mũi Né,Bình Thuận,"Thiên đường của các môn thể thao trên biển như lướt ván diều, lướt sóng. Nổi tiếng với những đồi cát bay khổng lồ và suối Tiên độc đáo.",người yêu thể thao biển;nhóm bạn trẻ,lướt ván diều;thể thao biển;khám phá,trung bình,Trượt cát ở Đồi Cát Bay;lái xe địa hình trên cát;tham quan Suối Tiên;tắm biển
qua_tang,Tai nghe Sony WH-1000XM5,Sony,"Tai nghe chống ồn chủ động hàng đầu, chất lượng âm thanh tuyệt vời, thiết kế thoải mái. Món quà cao cấp cho người yêu âm nhạc và cần sự tập trung.",bạn trai;bạn gái;đồng nghiệp,công nghệ;âm nhạc;làm việc;du lịch,trên 5 triệu,Tai nghe chống ồn
qua_tang,Sách 'Nhà Giả Kim',Paulo Coelho,"Cuốn sách kinh điển về hành trình theo đuổi ước mơ, mang nhiều ý nghĩa sâu sắc. Món quà tinh thần giá trị, phù hợp với nhiều đối tượng.",bạn bè;người thân;đồng nghiệp,đọc sách;phát triển bản thân;sinh nhật;ngày lễ,dưới 200k,Sách văn học
qua_tang,Nước hoa Dior Sauvage,Dior,"Mùi hương nam tính, mạnh mẽ và cuốn hút, một trong những loại nước hoa nam phổ biến nhất. Món quà sang trọng cho phái mạnh.",bạn trai;bố;sếp nam,thời trang;lịch lãm;sinh nhật;ngày của Cha,2-4 triệu,Nước hoa nam
qua_tang,Bộ chăm sóc da Klairs,Klairs,"Bộ sản phẩm chăm sóc da cơ bản từ thương hiệu Hàn Quốc, dịu nhẹ, phù hợp với mọi loại da. Món quà thiết thực cho phái nữ.",bạn gái;mẹ;chị em gái,làm đẹp;chăm sóc bản thân;8/3;sinh nhật,500k-1 triệu,"Mỹ phẩm, skincare"
qua_tang,Máy đọc sách Kindle Paperwhite,Amazon Kindle,Thiết bị đọc sách điện tử với màn hình E-ink chống chói. Món quà tuyệt vời để khuyến khích thói quen đọc.,bất kỳ ai,đọc sách;công nghệ;yên tĩnh;sinh nhật;tự thưởng,2-4 triệu,Thiết bị điện tử
qua_tang,Bàn phím cơ Filco Majestouch 2,Filco,"Thương hiệu bàn phím cơ hàng đầu từ Nhật Bản, cho cảm giác gõ tuyệt vời. Phù hợp cho lập trình viên hoặc game thủ.",bạn trai;đồng nghiệp nam,công nghệ;lập trình;gaming;thăng chức,trên 3 triệu,Phụ kiện máy tính
