ID,Question,Ideal_Answer,Chatbot_Answer,Status,Result,Notes
TEST_001,Hồ Gươm có gì hay?,"Hồ Gươm (Hồ Hoàn Kiếm) có nhiều điểm tham quan như Tháp Rùa (nằm giữa hồ), Cầu Thê Húc (màu đỏ son), và Đền Ngọc Sơn (nơi thờ Văn Xương Đế Quân và Trần Hưng Đạo).","Hồ Gươm (hay còn gọi là Hồ Hoàn Kiếm) chính là trái tim và là biểu tượng của Hà Nội, nơi gắn liền với nhiều truyền thuyết lịch sử và văn hóa.

Dưới đây là những điểm tham quan và hoạt động thú vị xung quanh Hồ Gươm:

1.  **Các công trình kiến trúc nổi bật:**
    *   **Tháp Rùa:** Ngọn tháp cổ kính nằm yên bình giữa lòng hồ, là một trong những hình ảnh đặc trưng nhất của Hà Nội.
    *   **Cầu Thê Húc:** Cây cầu son đỏ rực rỡ, cong cong bắc qua hồ nước để dẫn vào Đền Ngọc Sơn.
    *   **Đền Ngọc Sơn:** Nơi thờ Văn Xương Đế Quân và Trần Hưng Đạo. Để vào đền, bạn phải đi qua Cầu Thê Húc.

2.  **Không gian và Hoạt động:**
    *   **Dạo bộ và Thư giãn:** Hồ Gươm là nơi tuyệt vời để đi dạo, hít thở không khí trong lành và ngắm nhìn thành phố.
    *   **Phố đi bộ:** Nếu bạn ghé thăm vào **tối thứ Sáu, thứ Bảy hoặc Chủ Nhật**, khu vực xung quanh Hồ Gươm sẽ trở thành phố đi bộ, rất nhộn nhịp với các hoạt động văn hóa, biểu diễn đường phố và là nơi lý tưởng để trải nghiệm không khí sôi động của giới trẻ Hà Nội.

3.  **Gần Hồ Gươm (Khu vực Phố Cổ):**
    *   Bạn có thể dễ dàng kết hợp tham quan **Phố Cổ Hà Nội** với 36 phố phường sầm uất ngay sát bên.
    *   Đây cũng là khu vực tập trung nhiều quán cà phê nổi tiếng với món **Cà phê trứng** trứ danh như Cà phê Giảng hay Cà phê Đinh.
    *   Gần đó còn có **Tràng Tiền Plaza**, trung tâm thương mại sang trọng.

Hồ Gươm là điểm khởi đầu lý tưởng để khám phá văn hóa và lịch sử Hà Nội!",SUCCESS,,
TEST_002,Văn Miếu là gì?,"Văn Miếu - Quốc Tử Giám là trường đại học đầu tiên của Việt Nam, là nơi thờ Khổng Tử và các bậc hiền triết. Nổi bật nhất là 82 tấm bia tiến sĩ đặt trên lưng rùa đá.","Văn Miếu - Quốc Tử Giám chính là trường đại học đầu tiên của Việt Nam, được xem là biểu tượng cho nền giáo dục Nho học của đất nước ta.

Đây là nơi thờ Khổng Tử và các bậc hiền triết. Điểm đặc biệt và ấn tượng nhất tại đây là Vườn bia, nơi có 82 tấm bia tiến sĩ được đặt trên lưng rùa đá, nhằm vinh danh những người đã đỗ đạt trong các kỳ thi trước đây.

Văn Miếu - Quốc Tử Giám là một địa điểm tham quan lịch sử và văn hóa rất quan trọng khi bạn ghé thăm Hà Nội.",SUCCESS,,
TEST_003,Tôi muốn đi Lăng Bác thì cần chú ý gì?,"Khi vào viếng Lăng Bác, bạn bắt buộc phải tuân thủ quy định về trang phục nghiêm túc (không mặc quần short, váy ngắn) và giữ trật tự.","Việc viếng thăm **Lăng Chủ tịch Hồ Chí Minh** là một trải nghiệm rất ý nghĩa và trang nghiêm. Để chuyến đi của bạn được thuận lợi và thể hiện sự tôn kính, bạn cần lưu ý một số quy định và điều kiện sau:

**1. Thời gian mở cửa và quy định chung:**

*   **Giờ mở cửa:** Lăng Bác thường mở cửa đón khách tham quan vào các buổi sáng, thường là từ 7:30 sáng đến 10:30 sáng (hoặc 11:00 tùy mùa). Lăng sẽ đóng cửa vào các buổi chiều.
*   **Ngày nghỉ:** Lăng Bác thường đóng cửa vào các ngày thứ Hai và thứ Sáu hàng tuần, cũng như các đợt bảo trì định kỳ (thường là từ tháng 9 đến tháng 12 hàng năm). Bạn nên kiểm tra thông tin chính thức trước khi đi, đặc biệt nếu bạn đi vào **ngày mai (2025-11-17)** hoặc cuối tuần.
*   **Trang phục:** Đây là nơi linh thiêng, vì vậy bạn phải mặc trang phục lịch sự, kín đáo. Tuyệt đối không mặc quần/váy ngắn, áo ba lỗ, áo hở vai.

**2. Những điều TUYỆT ĐỐI KHÔNG ĐƯỢC LÀM bên trong Lăng:**

*   **Không mang theo thiết bị điện tử:** Điện thoại di động, máy ảnh, máy ghi âm, và các thiết bị điện tử khác phải được tắt nguồn hoàn toàn và gửi tại tủ khóa bên ngoài khu vực Lăng.
*   **Không mang theo đồ ăn, thức uống:** Tuyệt đối không được mang bất kỳ loại thực phẩm hay đồ uống nào vào khu vực Lăng và Quảng trường Ba Đình.
*   **Giữ trật tự tuyệt đối:** Trong khi xếp hàng và viếng thăm bên trong Lăng, bạn phải giữ im lặng tuyệt đối, không nói chuyện, không chỉ tay, và đi theo sự hướng dẫn của bộ đội bảo vệ.
*   **Không mang theo vật dụng cồng kềnh:** Túi xách lớn, ba lô cũng cần được gửi ở nơi quy định.

**3. Quy trình viếng thăm:**

*   **Xếp hàng:** Bạn sẽ phải xếp hàng dài để vào viếng. Hãy kiên nhẫn và đi theo hàng lối.
*   **Thái độ:** Đi chậm rãi, trang nghiêm theo nhịp độ chung của đoàn người.

**4. Các điểm tham quan khác trong Khu di tích:**

Sau khi viếng Lăng, bạn có thể tham quan các địa điểm khác trong Khu di tích Phủ Chủ tịch (thường mở cửa muộn hơn Lăng):

*   **Quảng trường Ba Đình:** Nơi có Lễ Chào cờ và Lễ hạ cờ trang nghiêm.
*   **Nhà Sàn Bác Hồ:** Nơi Bác từng sống và làm việc.
*   **Ao cá Bác Hồ:** Nơi Bác thường cho cá ăn.
*   **Chùa Một Cột:** Ngôi chùa có kiến trúc độc đáo.

Chúc bạn có một chuyến viếng thăm Lăng Bác thật ý nghĩa và trang trọng!",SUCCESS,,
TEST_004,Lăng Bác mở cửa khi nào?,"Lăng Bác mở cửa vào các buổi sáng, nhưng đóng cửa vào thứ Hai và thứ Sáu.","Chào bạn, tôi rất sẵn lòng cung cấp thông tin về giờ mở cửa của Lăng Chủ tịch Hồ Chí Minh.

Lăng Bác thường mở cửa đón khách tham quan vào các **buổi sáng**, cụ thể:

1.  **Giờ hoạt động:** Thường là từ **7:30 sáng đến khoảng 10:30 sáng** (hoặc 11:00 tùy theo mùa). Lăng sẽ đóng cửa vào các buổi chiều.
2.  **Ngày nghỉ:** Lăng Bác thường **đóng cửa vào các ngày thứ Hai và thứ Sáu hàng tuần**.
3.  **Bảo trì:** Lăng cũng sẽ đóng cửa định kỳ để bảo trì, thường là trong khoảng thời gian từ tháng 9 đến tháng 12 hàng năm.

Vì hôm nay là **Chủ Nhật, ngày 16 tháng 11 năm 2025**, bạn nên kiểm tra lại thông tin chính thức trước khi đi, đặc biệt nếu bạn có ý định đi vào **ngày mai (Thứ Hai, 2025-11-17)**, vì Lăng thường đóng cửa vào Thứ Hai.

Bạn nhớ lưu ý về trang phục lịch sự và quy định không mang thiết bị điện tử khi viếng thăm nhé!",SUCCESS,,
TEST_005,Phố Cổ Hà Nội có gì đặc trưng?,"Phố Cổ Hà Nội đặc trưng với 36 phố phường, kiến trúc nhà ống, và là nơi buôn bán sầm uất. Nơi đây có phố đi bộ hoạt động vào tối thứ Sáu, Bảy và Chủ Nhật.","Phố Cổ Hà Nội là khu vực vô cùng đặc trưng và là linh hồn của thủ đô, gắn liền với lịch sử thương mại lâu đời của thành phố.

Dưới đây là những điểm đặc trưng nổi bật của Phố Cổ Hà Nội:

1.  **36 Phố Phường:**
    *   Khu vực này nổi tiếng với hệ thống 36 phố phường, nơi mà mỗi con phố xưa kia thường tập trung buôn bán một loại mặt hàng chuyên biệt (ví dụ: Hàng Bạc chuyên về bạc, Hàng Gai chuyên về gai/lụa).
    *   Ngày nay, dù đã có nhiều thay đổi, bạn vẫn có thể cảm nhận được sự đa dạng về mặt hàng và không khí buôn bán sầm uất tại đây.

2.  **Kiến trúc Nhà Ống:**
    *   Đặc trưng kiến trúc là những ngôi nhà ống (nhà mặt tiền hẹp nhưng chiều sâu rất dài) được xây dựng để tối ưu hóa không gian và thuế má ngày xưa. Bạn sẽ thấy sự kết hợp hài hòa giữa kiến trúc truyền thống và một chút ảnh hưởng của kiến trúc Pháp.

3.  **Không gian Sầm uất và Ẩm thực:**
    *   Đây là nơi tập trung nhiều quán ăn ngon và các quán cà phê mang tính biểu tượng. Bạn có thể tìm thấy những món đặc sản Hà Nội như Phở Bát Đàn, Bún chả Hàng Mành, và đặc biệt là Cà phê trứng trứ danh tại Cà phê Giảng hay Cà phê Đinh.

4.  **Hoạt động về đêm (Phố đi bộ):**
    *   Khu vực xung quanh Hồ Gươm và một phần Phố Cổ trở thành **Phố đi bộ** vào các tối **thứ Sáu, thứ Bảy và Chủ Nhật** (từ 19:00 đến 24:00). Đây là thời điểm tuyệt vời để trải nghiệm không khí náo nhiệt, xem biểu diễn đường phố và ghé thăm **Phố Tạ Hiện** (phố bia).

5.  **Phương tiện di chuyển:**
    *   Để khám phá trọn vẹn vẻ đẹp của Phố Cổ, phương tiện tốt nhất là **đi bộ** hoặc đi **xích lô** để có thể dừng lại chiêm ngưỡng từng ngóc ngách, ngõ nhỏ.

Phố Cổ Hà Nội là nơi lý tưởng để bạn đắm mình vào nhịp sống cổ kính nhưng không kém phần sôi động của người Hà Nội.",SUCCESS,,
TEST_006,Nhà tù Hỏa Lò có mở cửa không?,"Có, di tích Nhà tù Hỏa Lò mở cửa đón khách tất cả các ngày trong tuần.","Nhà tù Hỏa Lò là một di tích lịch sử quan trọng tại Hà Nội.

Theo thông tin tôi có, **Nhà tù Hỏa Lò mở cửa đón khách tham quan tất cả các ngày trong tuần.**

Đây là nơi tái hiện lại cuộc sống gian khổ và tinh thần đấu tranh của các chiến sĩ cách mạng Việt Nam trong thời kỳ kháng chiến chống Pháp.

Vì hôm nay là **Chủ Nhật, ngày 16 tháng 11 năm 2025**, bạn hoàn toàn có thể ghé thăm địa điểm này hôm nay hoặc **ngày mai (Thứ Hai, 2025-11-17)**.

Khi đến tham quan, bạn nên chú ý mặc trang phục lịch sự để thể hiện sự tôn kính đối với di tích lịch sử này.",SUCCESS,,
TEST_007,Hoàng thành Thăng Long có phải Di sản Thế giới không?,"Đúng vậy, Hoàng thành Thăng Long đã được UNESCO công nhận là Di sản Văn hóa Thế giới.","Chào bạn, tôi có thể cung cấp thông tin về **Hoàng thành Thăng Long** cho bạn.

**Hoàng thành Thăng Long** chính thức được **UNESCO công nhận là Di sản Văn hóa Thế giới**.

Đây là quần thể di tích lịch sử gắn liền với lịch sử kinh thành Thăng Long xưa. Khi ghé thăm, bạn có thể khám phá các điểm nổi bật như:

1.  Cột cờ Hà Nội.
2.  Đoan Môn.
3.  Điện Kính Thiên.
4.  Khu vực khảo cổ học 18 Hoàng Diệu.

Đây là một địa điểm tham quan rất quan trọng để tìm hiểu về chiều dài lịch sử của thủ đô Hà Nội.",SUCCESS,,
TEST_008,Kể tên 3 điểm tham quan ở Hoàng thành Thăng Long,"Các điểm tham quan chính bao gồm Cột cờ Hà Nội, Đoan Môn, Điện Kính Thiên và khu khảo cổ học 18 Hoàng Diệu.","Chào bạn, tôi rất vui được cung cấp thông tin về **Hoàng thành Thăng Long**!

Hoàng thành Thăng Long là Di sản Văn hóa Thế giới và là nơi lưu giữ nhiều dấu ấn lịch sử quan trọng.

Dưới đây là 3 điểm tham quan nổi bật mà bạn có thể khám phá bên trong khu di tích này:

1.  **Cột cờ Hà Nội:** Đây là một trong những công trình kiến trúc tiêu biểu nhất của khu di tích, có ý nghĩa lịch sử to lớn.
2.  **Điện Kính Thiên:** Từng là nơi thiết triều và cử hành các nghi lễ quan trọng của triều đình xưa.
3.  **Khu khảo cổ học 18 Hoàng Diệu:** Nơi trưng bày các hiện vật khảo cổ học được khai quật tại khu vực này, giúp du khách hình dung rõ hơn về các thời kỳ lịch sử của kinh thành.

Ngoài ra, bạn cũng có thể ghé thăm **Đoan Môn** khi đến tham quan Hoàng thành Thăng Long.",SUCCESS,,
TEST_009,Tôi muốn tìm hiểu về văn hóa 54 dân tộc thì nên đi đâu?,"Bạn nên đến Bảo tàng Dân tộc học Việt Nam. Nơi đây trưng bày và lưu giữ các giá trị văn hóa của 54 dân tộc, với cả khu trưng bày trong nhà và khu Vườn Kiến trúc ngoài trời.","Chào bạn, tìm hiểu về văn hóa 54 dân tộc anh em của Việt Nam là một hành trình rất thú vị và ý nghĩa!

Để khám phá và tìm hiểu sâu sắc nhất về sự đa dạng văn hóa này, bạn nên đến các địa điểm sau:

1.  **Làng Văn hóa - Du lịch các Dân tộc Việt Nam (Đồng Mô, Sơn Tây, Hà Nội):**
    *   Đây là địa điểm lý tưởng nhất vì nó được xây dựng như một ""Việt Nam thu nhỏ"", tái hiện lại kiến trúc, trang phục, phong tục tập quán của 54 dân tộc.
    *   Bạn có thể tham gia các lễ hội, hoạt động văn hóa theo lịch trình của khu du lịch.

2.  **Bảo tàng Dân tộc học Việt Nam (Hà Nội):**
    *   Bảo tàng này trưng bày bộ sưu tập hiện vật khổng lồ, phong phú và có tính học thuật cao về đời sống vật chất và tinh thần của các dân tộc.
    *   Khuôn viên ngoài trời còn có các mô hình nhà ở truyền thống của nhiều dân tộc thiểu số.

3.  **Các tỉnh miền núi phía Bắc (Tây Bắc và Đông Bắc):**
    *   Đây là nơi bạn có thể trải nghiệm văn hóa một cách chân thực nhất thông qua việc du lịch cộng đồng (homestay).
    *   **Các điểm gợi ý:**
        *   **Hà Giang:** Nơi sinh sống của người H'Mông Hoa, Lô Lô, Dao, Tày... với những phiên chợ vùng cao đặc sắc.
        *   **Lào Cai (Sa Pa):** Nổi tiếng với các bản làng của người H'Mông Đen, Dao Đỏ, Tày, Giáy.
        *   **Cao Bằng:** Nơi có nhiều nét văn hóa đặc trưng của dân tộc Nùng và Tày.

4.  **Các tỉnh Tây Nguyên:**
    *   Nếu bạn muốn tìm hiểu về văn hóa các dân tộc Tây Nguyên (Ê Đê, Gia Rai, Ba Na...), bạn nên đến **Kon Tum, Gia Lai, Đắk Lắk** để tìm hiểu về nhà Rông, cồng chiêng và văn hóa cà phê.

5.  **Các tỉnh miền Trung và Nam Bộ:**
    *   Các dân tộc thiểu số ở đây như Chăm (Ninh Thuận, Bình Thuận), Khmer (Tây Nam Bộ) cũng có những di sản văn hóa độc đáo riêng mà bạn nên ghé thăm để có cái nhìn toàn diện về 54 dân tộc.

Chúc bạn có một chuyến đi khám phá văn hóa Việt Nam thật nhiều trải nghiệm!",SUCCESS,,
TEST_010,Chùa Trấn Quốc nằm ở đâu?,Chùa Trấn Quốc nằm trên một hòn đảo nhỏ phía Đông của Hồ Tây.,"Chào bạn, tôi rất sẵn lòng cung cấp thông tin về **Chùa Trấn Quốc**!

Chùa Trấn Quốc là một trong những ngôi chùa cổ kính và linh thiêng nhất tại Hà Nội.

Vị trí của chùa là:

*   **Địa điểm:** Chùa Trấn Quốc nằm trên một hòn đảo nhỏ phía Đông của **Hồ Tây** (Quận Tây Hồ, Hà Nội).

Do vị trí đặc biệt này, chùa Trấn Quốc không chỉ là một trung tâm Phật giáo lớn mà còn là một điểm tham quan có phong cảnh rất đẹp, đặc biệt là khi ngắm nhìn Hồ Tây. Điểm nhấn kiến trúc nổi bật của chùa là ngọn bảo tháp 11 tầng.",SUCCESS,,
