ID,Question,Ideal_Answer
TEST_001,"Hồ Gươm có gì hay?","Hồ Gươm (Hồ Hoàn Kiếm) có nhiều điểm tham quan như Tháp Rùa (nằm giữa hồ), Cầu Thê Húc (màu đỏ son), và Đền Ngọc Sơn (nơi thờ Văn Xương Đế Quân và Trần Hưng Đạo)."
TEST_002,"Văn Miếu là gì?","Văn Miếu - Quốc Tử Giám là trường đại học đầu tiên của Việt Nam, là nơi thờ Khổng Tử và các bậc hiền triết. Nổi bật nhất là 82 tấm bia tiến sĩ đặt trên lưng rùa đá."
TEST_003,"Tôi muốn đi Lăng Bác thì cần chú ý gì?","Khi vào viếng Lăng Bác, bạn bắt buộc phải tuân thủ quy định về trang phục nghiêm túc (không mặc quần short, váy ngắn) và giữ trật tự."
TEST_004,"Lăng Bác mở cửa khi nào?","Lăng Bác mở cửa vào các buổi sáng, nhưng đóng cửa vào thứ Hai và thứ Sáu."
TEST_005,"Phố Cổ Hà Nội có gì đặc trưng?","Phố Cổ Hà Nội đặc trưng với 36 phố phường, kiến trúc nhà ống, và là nơi buôn bán sầm uất. Nơi đây có phố đi bộ hoạt động vào tối thứ Sáu, Bảy và Chủ Nhật."
TEST_006,"Nhà tù Hỏa Lò có mở cửa không?","Có, di tích Nhà tù Hỏa Lò mở cửa đón khách tất cả các ngày trong tuần."
TEST_007,"Hoàng thành Thăng Long có phải Di sản Thế giới không?","Đúng vậy, Hoàng thành Thăng Long đã được UNESCO công nhận là Di sản Văn hóa Thế giới."
TEST_008,"Kể tên 3 điểm tham quan ở Hoàng thành Thăng Long","Các điểm tham quan chính bao gồm Cột cờ Hà Nội, Đoan Môn, Điện Kính Thiên và khu khảo cổ học 18 Hoàng Diệu."
TEST_009,"Tôi muốn tìm hiểu về văn hóa 54 dân tộc thì nên đi đâu?","Bạn nên đến Bảo tàng Dân tộc học Việt Nam. Nơi đây trưng bày và lưu giữ các giá trị văn hóa của 54 dân tộc, với cả khu trưng bày trong nhà và khu Vườn Kiến trúc ngoài trời."
TEST_010,"Chùa Trấn Quốc nằm ở đâu?","Chùa Trấn Quốc nằm trên một hòn đảo nhỏ phía Đông của Hồ Tây."
TEST_011,"Phở Bát Đàn có gì đặc biệt?","Phở Bát Đàn (phố Bát Đàn) là quán phở bò gia truyền nổi tiếng. Đặc trưng là khách hàng phải tự xếp hàng (self-service) để gọi món."
TEST_012,"Ăn Cà phê trứng ở đâu ngon?","Hai quán Cà phê trứng nổi tiếng nhất là Cà phê Giảng (phố Nguyễn Hữu Huân) và Cà phê Đinh (phố Đinh Tiên Hoàng)."
TEST_013,"Cà phê trứng là gì?","Đây là đặc sản Hà Nội, gồm lòng đỏ trứng gà đánh bông với sữa đặc, phủ lên trên ly cà phê đen, tạo vị béo ngậy."
TEST_014,"Chả cá Lã Vọng làm từ cá gì?","Món này được làm từ cá lăng (hoặc cá quả), tẩm ướp, nướng rồi chiên lại trong chảo mỡ khi ăn."
TEST_015,"Nên đi Hà Nội mùa nào đẹp nhất?","Thời điểm tốt nhất để du lịch Hà Nội là vào mùa thu (từ tháng 9 đến tháng 11), vì thời tiết lúc này mát mẻ, khô ráo và ít mưa."
TEST_016,"Từ sân bay Nội Bài về trung tâm Hà Nội đi bằng gì?","Bạn có thể đi taxi (khoảng 250-300k), xe buýt công cộng (tuyến 86 về Hồ Gươm), hoặc đặt xe công nghệ như Grab."
TEST_017,"Phố đi bộ Hà Nội hoạt động khi nào?","Phố đi bộ quanh Hồ Gươm hoạt động từ 19:00 thứ Sáu đến 24:00 Chủ Nhật hàng tuần."
TEST_018,"Times City có gì chơi?","Times City (Minh Khai) có Thủy cung Vinpearl Aquarium, khu vui chơi trẻ em VinKE, rạp chiếu phim CGV và khu ẩm thực lớn."
TEST_019,"Mình muốn đi trượt băng ở Hà Nội thì đi đâu?","Bạn có thể đến Sân trượt băng Vincom Ice Rink tại Vincom Mega Mall Royal City (đường Nguyễn Trãi)."
TEST_020,"Ở Lotte Center có gì hay?","Lotte Center (Liễu Giai) có Đài quan sát Lotte ở tầng 65, nơi bạn có thể ngắm toàn cảnh 360 độ Hà Nội và trải nghiệm Sky Walk (sàn kính trong suốt)."
